types,counts,total_unique,probs
Lamar,276,4256,0.00014198414613255248
Darnell,274,4256,0.00014095527550840356
Ernie,273,4256,0.0001404408401963291
Harley,272,4256,0.00013992640488425464
Grover,271,4256,0.00013941196957218015
Dexter,269,4256,0.00013838309894803123
Enrique,269,4256,0.00013838309894803123
Ernesto,269,4256,0.00013838309894803123
Ned,268,4256,0.00013786866363595676
Blaine,268,4256,0.00013786866363595676
Ronny,267,4256,0.0001373542283238823
Clay,267,4256,0.0001373542283238823
Al,265,4256,0.00013632535769973338
Kirby,265,4256,0.00013632535769973338
Elijah,263,4256,0.00013529648707558443
Gabriel,262,4256,0.00013478205176350997
Winston,262,4256,0.00013478205176350997
Kelvin,260,4256,0.00013375318113936104
Alphonso,260,4256,0.00013375318113936104
Curt,258,4256,0.00013272431051521212
Jorge,256,4256,0.00013169543989106317
Orville,256,4256,0.00013169543989106317
Sterling,256,4256,0.00013169543989106317
Phil,255,4256,0.0001311810045789887
Junior,254,4256,0.00013066656926691425
Irving,253,4256,0.00013015213395483978
Abraham,253,4256,0.00013015213395483978
Brett,252,4256,0.00012963769864276532
Javier,252,4256,0.00012963769864276532
Vaughn,252,4256,0.00012963769864276532
Denny,251,4256,0.00012912326333069086
Reed,250,4256,0.00012860882801861637
Jess,249,4256,0.0001280943927065419
Linwood,247,4256,0.000127065522082393
Loyd,247,4256,0.000127065522082393
Julio,246,4256,0.00012655108677031853
Reuben,246,4256,0.00012655108677031853
Joey,242,4256,0.00012449334552202065
Lon,242,4256,0.00012449334552202065
Elton,240,4256,0.00012346447489787173
Sanford,238,4256,0.0001224356042737228
Elliott,237,4256,0.00012192116896164833
Donny,237,4256,0.00012192116896164833
Billie,236,4256,0.00012140673364957387
Randell,235,4256,0.0001208922983374994
Roscoe,233,4256,0.00011986342771335047
Thaddeus,233,4256,0.00011986342771335047
Simon,230,4256,0.00011832012177712707
Harrison,229,4256,0.00011780568646505261
Thurman,228,4256,0.00011729125115297815
Michel,223,4256,0.00011471907459260581
Blair,219,4256,0.00011266133334430795
Jason,218,4256,0.00011214689803223349
Levi,218,4256,0.00011214689803223349
Burton,217,4256,0.00011163246272015903
Kris,216,4256,0.00011111802740808455
Dick,215,4256,0.00011060359209601009
Kermit,214,4256,0.00011008915678393563
Nolan,214,4256,0.00011008915678393563
Drew,214,4256,0.00011008915678393563
Austin,214,4256,0.00011008915678393563
Cornell,213,4256,0.00010957472147186115
Eddy,213,4256,0.00010957472147186115
Sean,213,4256,0.00010957472147186115
Will,213,4256,0.00010957472147186115
Blake,212,4256,0.00010906028615978669
Joesph,212,4256,0.00010906028615978669
Emanuel,211,4256,0.00010854585084771223
Dudley,210,4256,0.00010803141553563777
Kennith,210,4256,0.00010803141553563777
Sandy,209,4256,0.0001075169802235633
Elliot,207,4256,0.00010648810959941437
Fredric,207,4256,0.00010648810959941437
Tomas,207,4256,0.00010648810959941437
Jasper,206,4256,0.0001059736742873399
Emil,205,4256,0.00010545923897526543
Jaime,205,4256,0.00010545923897526543
Ramiro,204,4256,0.00010494480366319097
Carmen,203,4256,0.00010443036835111651
Reid,203,4256,0.00010443036835111651
Rocco,202,4256,0.00010391593303904203
Norbert,201,4256,0.00010340149772696757
Odell,200,4256,0.00010288706241489311
Stevie,199,4256,0.00010237262710281864
Colin,198,4256,0.00010185819179074417
August,193,4256,9.928601523037185e-05
Elwood,193,4256,9.928601523037185e-05
Kendall,191,4256,9.825714460622292e-05
Toby,191,4256,9.825714460622292e-05
Wiley,191,4256,9.825714460622292e-05
Shawn,189,4256,9.722827398207399e-05
Geary,189,4256,9.722827398207399e-05
Dane,189,4256,9.722827398207399e-05
Erik,187,4256,9.619940335792506e-05
Danial,186,4256,9.56849680458506e-05
Lane,186,4256,9.56849680458506e-05
Ulysses,186,4256,9.56849680458506e-05
Jody,185,4256,9.517053273377613e-05
Felipe,184,4256,9.465609742170166e-05
Donn,182,4256,9.362722679755273e-05
Lamont,182,4256,9.362722679755273e-05
Millard,182,4256,9.362722679755273e-05
Rogelio,182,4256,9.362722679755273e-05
Casey,180,4256,9.25983561734038e-05
Ward,180,4256,9.25983561734038e-05
Timmy,179,4256,9.208392086132933e-05
Val,178,4256,9.156948554925487e-05
Israel,178,4256,9.156948554925487e-05
Gilberto,178,4256,9.156948554925487e-05
Elvin,178,4256,9.156948554925487e-05
Joshua,177,4256,9.10550502371804e-05
